messageId;content
337930749644059_338522726251528;Ich könnte als Fahrer ab 18:30 Uhr zur Verfügung stehen. Habe einen kleinen Opel Corsa und komme aus Delitzsch. Einfach melden...antworte schnell.
337930749644059_338580059579128;Wo kann man mithelfen, Sandsäcke zu füllen?
366774546758041_366781876757308;Kann man irgendwo helfen, die Sandsäcke zu füllen?
381501568627772_381705411940721;Die Feuerwehr Manching bittet um Hilfe! Freiwillige werden gesucht, die Sandsäcke befüllen. Hier melden: 084597200 - DANKE!
381501568627772_381906718587257;Die Feuerwehr Manching bittet um Hilfe! Freiwillige werden gesucht, die Sandsäcke befüllen. Hier melden: 084597200 - DANKE! - von Benjamin Liss
400118820101889_400120673435037;ich kann von schleching aus helfen bin mobil soweit ich fahren kann natürlich
400118820101889_400120886768349;ich sitze in unterwössen wenn jemand hilfe braucht
400118820101889_400122593434845;Lauterbach gmd. Rohrdorfer gemeinde wer hilfe braucht
400118820101889_400140870099684;Von Bergen kommt man fast nicht raus aber in Bergen würd ich sofort helfen. Hab gutes Regen gwand
400118820101889_400469260066845;Wird heute irgend welche Hilfe benötigt? Bin mobil und von TS aus kommt man auch ganz gut weg.
400788633368523_400819830032070;wer wenn zum sandsäcke füllen braucht oder anders hilfe braucht einfach anschreiben. habe gerade eine woche urlaub...
400788633368523_400820293365357;Ich könnte ja mithelfen bei der Koordination, habt ihr schon eine Hotline eingerichtet?
400788633368523_400829703364416;Alle nach Manching kommen, hier säuft bald alles ab!!!
400788633368523_400941436686576;Brauchen die Helfer eine Brotzeit (Wurstsemmeln)? Komme aus Langenbruck
400788633368523_400991636681556;Aufräumen, Ausräumen, Keller auspumpen, Sandsäcke füllen ... Daniel Strauch bietet Hilfe an. Danke Daniel!
408099079303402_408121349301175;Wo soll ich helfen
408099079303402_408167919296518;Wir können hier jede helfende Hand nur gerne annehmen . Kommt einfach in die Ritterpflugstr. Ans flutbett. !!!!
408099079303402_408337709279539;"***Bildzeitung***
23.46 Uhr
Noch Helfer in Kleinpösna gesucht
Obwohl bereits hunderte Menschen am Kieswerk in Kleinpösna mit anpacken, ist die Situation dort brenzlig. Noch immer werden Hilfskräfte benötigt."
457286994363580_10151608581678459;Bei der Tischlerei Harald Hillger in Pfützthal werden dringend Sandsäcke benötigt!!! Kann irgendjemand helfen???
457286994363580_457290841029862;"In Raguhn-Jeßnitz ist der Stadtteil Jeßnitz momentan wieder erreichbar. Im Tagesverlauf mussten alle Zufahrtswege zur Vorbeugung gesperrt werden.



In Altjeßnitz (ggü. Autohaus Fietz) und Raguhn (am Bahnhof) wird jede helfende Hand benötigt! Die Lage in Altjeßnitz ist ernst, hier droht ein Deich zu brechen. Für die Nacht werden weiter stark steigende Pegelstände erwartet."
457286994363580_457294231029523;Falls ihr noch Helfer braucht bin ich dabei
457286994363580_457303164361963;Wo kann man sich melden zum helfen und wie sieht mit den Arbeitengeber aus
457286994363580_457333124358967;Göbitz Damm gebrochen. Maßnitz, Göbitz, Torna, Könderitz, Etzoldshain, Minkwitz, Traupitz sowie Bornitz, Draschwitz, Reuden, Predel, Ostrau und Profen werden für Evakuierung vorbereitet. Jede Helfende Hand zählt. In Zeitz in der Besenstrasse werden immer Helfer zum Säcke füllen benötigt.
457286994363580_457334701025476;+++ DAMMBRUCH IN GÖBITZ +++ Maßnitz, Göbitz, Torna, Könderitz, Etzoldshain, Minkwitz, Traupitz sowie Bornitz, Draschwitz, Reuden, Predel, Ostrau und Profen werden für Evakuierung vorbereitet +++ Jede Helfende Hand zählt +++ In Zeitz in der Besenstrasse we
457286994363580_457349744357305;"
Schloss Goseck 

Ich weiß nicht, ob der folgende Hinweis, in erster Linie gedacht für die Dörfer rund um Goseck, vielleicht übertrieben ist. Aber man fühlt sich angesichts des Wassers ringsum der Ebene gegenüber so hilflos hier oben ""auf dem Berg"".

Wenn wir mit/auf Schloss Goseck irgendwie helfen können, dann meldet Euch bitte bei uns...

Mehr anzeigen"
457286994363580_457463027679310;"Wird irgendwo in Bad Dürrenberg Hilfe benötigt?
Darf man in der aktuellen Lage überhaupt vorn mithelfen? Ich würde tun,was ich kann."
457286994363580_457529787672634;+++ ANSPANNUNG AN DER ELBE +++ In Magdeburg hat die Feuerwehr damit begonnen, tausende Sandsäcke zu füllen. +++ Helfer werden Gebeten, sich bei den Feuer-/Wasserwehren vor Ort zu melden +++
457286994363580_457531251005821;+++ Lage in Zeitz/Weiße Elster dramatisch +++ Rund 1000 Bürger evakuiert +++ BM Otto bittet um Hilfe und rechnet mit Ausrufung von Katastrophenalarm. +++ Helfer bitte die örtlichen Sammelpunkte erfragen und aufsuchen +++
457286994363580_457533894338890;"Wäre super, wenn Anlaufstellen für freiwillige Helfer in Wittenberg bekannt gegeben werden könnten.... könnt ihr Euch da mal informieren?
Löschen"
457286994363580_457535304338749;Alle, die gern helfen wollen: Bitte auf der Feuerwache im Steinsgraben in Zeitz melden! Es werden vor allem Helfer für die Notunterkünfte gesucht. telefon: 03441/ 212652
457286994363580_457536411005305;+++ AN ALLE HELFER +++ Bitte auf der Feuerwache im Steinsgraben in Zeitz melden! +++ Es werden vor allem Helfer für die Notunterkünfte gesucht. +++ Telefon: 03441/ 212652 +++
457286994363580_457547301004216;Hier ist die Nummer für die Helferkoordination in Zeitz: 0176/51862572
457286994363580_457548457670767;"+++ HELFERKOORDINATION IN ZEITZ +++ Es wird dringend Hilfe benötigt +++ Bitte unter 0176/51862572 melden +++ 

TEILEN, TEILEN, TEILEN"
457286994363580_457550961003850;"Ich würde gern ab Nachmittag in Naumburg oder Weißenfels helfen. Gibt es Anlaufstellen bzw. Telefonnummern wo man sich melden kann?

"
457286994363580_457551011003845;kann wer in grimma mit helfen?? dort ist es viel heftiger als bei uns in halle
457286994363580_457553047670308;+++ DRINGEND HELFER IN RAGUHN (LK ANHALT-BITTERFELD) GESUCHT +++ Bitte am Bahnhof melden +++ Bürgertelefon für Raguhn-Jeßnitz: 034906-30156 und 034906-30157 +++
457286994363580_457553354336944;Wie kommt man von Naumburg nach Zeitz...wir würden gerne helfen, wenn wir durch Naumburg kommen.
457286994363580_457559801002966;Kann man noch irgendwo rund um Naumburg helfen???
457286994363580_457562067669406;"!!Katastrophenalarm im Landkreis ABI!!

Der Landkreis hat reagiert und den Katastrophenalarm ausgerufen. Die Pegel der Mulde haben die kritische 8 m Marke erreicht - es ist mit einem weiteren Anstieg zu rechnen! ES WERDEN ÜBERALL HELFER BENÖTIGT, da die Pegel jetzt rasant steigen. In Sachsen hat der Regen wieder eingesetzt. Anlaufstellen für Sandsackbefüllung: Raguhn Bahnhof, Altjeßnitz Autohaus Fietz. In der Wasserwehr Greppin werden Helfer eingewiesen!

Bitte informiert euch weiter über den aktuellen Zustand und haltet euch an eventuelle Anweisungen!!"
457286994363580_457584424333837;"Andre Pachulski
Hilfe. Wir gehen unter. Könnten jede helfende Hand gebrauchen um wenigstens den grössten Teil unsere Möbel ins 1OG zu bekommen. Ich könnte heulen. Bitte bitte bitte wer Zeit hat soll nach Holleben/Benkendorf kommen. 01636646709"
457286994363580_457586947666918;"+++ HELFER IN HOLLEBEN/BENKENDORF GESUCHT! +++

Andre Pachulski sucht Hilfe.

"" Wir gehen unter. Könnten jede helfende Hand gebrauchen um wenigstens den grössten Teil unsere Möbel ins 1OG zu bekommen. Ich könnte heulen. Bitte bitte bitte wer Zeit hat "
457286994363580_457588347666778;Wo kann man sich als freiwilliger Helfer melden im Stadtgebiet Halle?
457286994363580_457591404333139;+++ Die Stadt Halle sucht freiwillige Helfer, die Sandsäcke befüllen. +++ Treffpunkt: Parkplatz am Waldkater/Hubertusplatz. +++
457286994363580_457591584333121;+++ Schönebeck richtet Krisenstab ein. +++ Stadt sucht dringend Freiwilligige für Deichwache. +++ Bitte in der Gemeinde vor Ort erkundigen +++
457286994363580_457591827666430;+++ DRINGENDER AUFRUF DER FEUERWEHREN +++ Freiwillige Helfer sollen nicht die 112 anrufen. +++ Das blockiere den Notruf für Notfälle. +++
457286994363580_457592604333019;Wenn jemand aus Bad Dürrenberg Hilfe braucht - melden, ggf. läßt sich was organiseren
457286994363580_457593797666233;"Volksstimme meldet gerade:

Gerwisch sucht dringend Helfer. Sandsäcke müssen gefüllt, der Sommerdeich um 30 Zentimeter erhöht werden. Treffpunkt: 15 Uhr Feuerwehrgerätehaus"
457286994363580_457594607666152;"+++ Aufnahmen aus Raguhn +++ Helfer werden gesucht! Bitte am Bahnhof melden!



Bürgertelefone:

Raguhn-Jeßnitz: 034906-30156 und - 30157

Muldestausee: 034208-799881

Bitterfeld–Wolfen: 03494-6660-142 und -146"
457286994363580_457595230999423;"+++ HELFER IN GERWISCH GESUCHT +++

Die Volksstimme meldet: Gerwisch sucht dringend Helfer. Sandsäcke müssen gefüllt, der Sommerdeich um 30 Zentimeter erhöht werden. Treffpunkt: 15 Uhr Feuerwehrgerätehaus"
457286994363580_457601114332168;Können wir rund um die Uhr in Raguhn oder Jeßnitz helfen? Wir kommen gleich von Nrw nach hause um euch zu helfen.
